source,user_grouping,schema,table
bigquery,MovieExplorer-bigquery,imdb_people,name_basics
bigquery,MovieExplorer-bigquery,imdb_people,title_principals
bigquery,MovieExplorer-bigquery,imdb_people,title_crew
bigquery,MovieExplorer-bigquery,imdb_people,title_basics
bigquery,MovieExplorer-bigquery,imdb_ratings,reviews
bigquery,MovieExplorer-bigquery,imdb_ratings,title_ratings
bigquery,WorldCensus-bigquery,census_bureau_international,age_specific_fertility_rates
bigquery,WorldCensus-bigquery,census_bureau_international,birth_death_growth_rates
bigquery,WorldCensus-bigquery,census_bureau_international,country_names_area
bigquery,WorldCensus-bigquery,census_bureau_international,midyear_population
bigquery,WorldCensus-bigquery,census_bureau_international,midyear_population_5yr_age_sex
bigquery,WorldCensus-bigquery,census_bureau_international,midyear_population_age_sex
bigquery,WorldCensus-bigquery,census_bureau_international,midyear_population_agespecific
bigquery,WorldCensus-bigquery,census_bureau_international,mortality_life_expectancy
